x,f(x)
0,0.000925
0.0125,-0.000262
0.025,-0.002726
0.0375,-0.001306
0.05,-0.000759
0.0625,-0.002513
0.075,-0.000766
0.0875,0.00139
0.1,-0.000871
0.1125,-0.002152
0.125,0.001197
0.1375,0.002478
0.15,-0.001166
0.1625,-0.003802
0.175,0.000596
0.1875,0.004738
0.2,0.002714
0.2125,-0.004463
0.225,-0.008603
0.2375,-0.000862
0.25,0.009447
0.2625,0.014886
0.275,0.00849
0.2875,-0.013422
0.3,-0.036014
0.3125,-0.043433
0.325,-0.027979
0.3375,0.022126
0.35,0.113911
0.3625,0.237698
0.375,0.380485
0.3875,0.535726
0.4,0.692008
0.4125,0.827939
0.425,0.925763
0.4375,0.981226
0.45,0.995989
0.4625,0.96702
0.475,0.888673
0.4875,0.763425
0.5,0.607548
0.5125,0.445952
0.525,0.301728
0.5375,0.188499
0.55,0.109056
0.5625,0.058633
0.575,0.0294
0.5875,0.013796
0.6,0.006079
0.6125,0.002523
0.625,0.000989
0.6375,0.000367
0.65,0.000129
0.6625,0.000043
0.675,0.000014
0.6875,0.000004
0.7,0.000001
0.7125,0
0.725,0
0.7375,0
0.75,0
0.7625,0
0.775,0
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
