x,f(x)
0,-0.000153
0.0125,0.000337
0.025,-0.000688
0.0375,0.000724
0.05,0.000337
0.0625,-0.002299
0.075,0.002376
0.0875,0.001831
0.1,-0.005101
0.1125,-0.000905
0.125,0.007809
0.1375,0.001707
0.15,-0.010316
0.1625,-0.006506
0.175,0.010303
0.1875,0.017945
0.2,0.006007
0.2125,-0.012634
0.225,-0.014651
0.2375,0.017993
0.25,0.09226
0.2625,0.2042
0.275,0.346175
0.2875,0.500767
0.3,0.657004
0.3125,0.800087
0.325,0.906709
0.3375,0.978507
0.35,1.009674
0.3625,0.980321
0.375,0.899522
0.3875,0.793666
0.4,0.664818
0.4125,0.505014
0.425,0.332357
0.4375,0.184267
0.45,0.084908
0.4625,0.032295
0.475,0.010083
0.4875,0.002564
0.5,0.000524
0.5125,0.000084
0.525,0.00001
0.5375,0.000001
0.55,0
0.5625,0
0.575,0
0.5875,0
0.6,0
0.6125,0
0.625,0
0.6375,0
0.65,0
0.6625,0
0.675,0
0.6875,0
0.7,0
0.7125,0
0.725,0
0.7375,0
0.75,0
0.7625,0
0.775,0
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
