x,f(x)
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,-0.000001
0.06,0.000006
0.065,-0.000019
0.07,0.00005
0.075,-0.000094
0.08,0.0001
0.085,0.00002
0.09,-0.00027
0.095,0.000374
0.1,0.00003
0.105,-0.000646
0.11,0.000391
0.115,0.000787
0.12,-0.000792
0.125,-0.000999
0.13,0.001009
0.135,0.001509
0.14,-0.000722
0.145,-0.002212
0.15,-0.000515
0.155,0.002395
0.16,0.003135
0.165,0.000919
0.17,-0.001944
0.175,-0.002057
0.18,0.003259
0.185,0.015439
0.19,0.034951
0.195,0.061717
0.2,0.095378
0.205,0.135417
0.21,0.181205
0.215,0.23202
0.22,0.287062
0.225,0.345462
0.23,0.4063
0.235,0.468615
0.24,0.531424
0.245,0.593739
0.25,0.654575
0.255,0.712973
0.26,0.768012
0.265,0.818825
0.27,0.86461
0.275,0.904645
0.28,0.938298
0.285,0.965039
0.29,0.984446
0.295,0.996213
0.3,1.000154
0.305,0.996209
0.31,0.984431
0.315,0.965044
0.32,0.938229
0.325,0.904716
0.33,0.864483
0.335,0.818775
0.34,0.768249
0.345,0.712564
0.35,0.654507
0.355,0.594346
0.36,0.530994
0.365,0.467789
0.37,0.407053
0.375,0.346424
0.38,0.286018
0.385,0.230479
0.39,0.181896
0.395,0.137602
0.4,0.09587
0.405,0.059307
0.41,0.031826
0.415,0.014635
0.42,0.005731
0.425,0.001903
0.43,0.000533
0.435,0.000125
0.44,0.000024
0.445,0.000004
0.45,0
0.455,0
0.46,0
0.465,0
0.47,0
0.475,0
0.48,0
0.485,0
0.49,0
0.495,0
0.5,0
0.505,0
0.51,0
0.515,0
0.52,0
0.525,0
0.53,0
0.535,0
0.54,0
0.545,0
0.55,0
0.555,0
0.56,0
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
