x,f(x)
0,0.000069
0.005,0.000373
0.01,0.000269
0.015,0.000123
0.02,0.000349
0.025,-0.000003
0.03,-0.000036
0.035,0.000292
0.04,-0.000161
0.045,-0.000135
0.05,0.000368
0.055,-0.000161
0.06,-0.000314
0.065,0.00045
0.07,0.00006
0.075,-0.000585
0.08,0.000275
0.085,0.000554
0.09,-0.000583
0.095,-0.000417
0.1,0.000822
0.105,0.000251
0.11,-0.000999
0.115,-0.000124
0.12,0.001143
0.125,0.000087
0.13,-0.001274
0.135,-0.000183
0.14,0.001379
0.145,0.00045
0.15,-0.001394
0.155,-0.000894
0.16,0.00119
0.165,0.001438
0.17,-0.00061
0.175,-0.001843
0.18,-0.000405
0.185,0.001698
0.19,0.001588
0.195,-0.000617
0.2,-0.002178
0.205,-0.001205
0.21,0.001194
0.215,0.002494
0.22,0.001254
0.225,-0.001246
0.23,-0.002945
0.235,-0.002163
0.24,0.000488
0.245,0.003116
0.25,0.004227
0.255,0.00234
0.26,-0.001226
0.265,-0.005111
0.27,-0.007556
0.275,-0.005572
0.28,0.001506
0.285,0.01463
0.29,0.035417
0.295,0.062677
0.3,0.096186
0.305,0.137015
0.31,0.183164
0.315,0.233386
0.32,0.288956
0.325,0.348107
0.33,0.408157
0.335,0.470231
0.34,0.534182
0.345,0.596301
0.35,0.655835
0.355,0.714707
0.36,0.770869
0.365,0.82065
0.37,0.864984
0.375,0.905867
0.38,0.940652
0.385,0.966057
0.39,0.983643
0.395,0.996072
0.4,1.001584
0.405,0.996865
0.41,0.98274
0.415,0.962819
0.42,0.937872
0.425,0.905214
0.43,0.863524
0.435,0.815443
0.44,0.764572
0.445,0.711601
0.45,0.654653
0.455,0.59278
0.46,0.528011
0.465,0.463925
0.47,0.402835
0.475,0.344623
0.48,0.287953
0.485,0.232308
0.49,0.179009
0.495,0.130684
0.5,0.08993
0.505,0.058184
0.51,0.035365
0.515,0.0202
0.52,0.010852
0.525,0.00549
0.53,0.00262
0.535,0.00118
0.54,0.000503
0.545,0.000203
0.55,0.000078
0.555,0.000028
0.56,0.00001
0.565,0.000003
0.57,0.000001
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
