x,f(x)
0,0.002682
0.0125,0.003879
0.025,-0.004436
0.0375,-0.006266
0.05,0.003479
0.0625,-0.00021
0.075,-0.009215
0.0875,0.001476
0.1,0.010631
0.1125,-0.003976
0.125,-0.013049
0.1375,0.004166
0.15,0.016158
0.1625,-0.001345
0.175,-0.01811
0.1875,-0.007162
0.2,0.017077
0.2125,0.018407
0.225,-0.007648
0.2375,-0.021999
0.25,-0.013502
0.2625,0.008041
0.275,0.03155
0.2875,0.027045
0.3,-0.005915
0.3125,-0.024096
0.325,-0.015198
0.3375,0.009949
0.35,0.077606
0.3625,0.206689
0.375,0.35848
0.3875,0.498777
0.4,0.644173
0.4125,0.802804
0.425,0.932261
0.4375,0.991861
0.45,0.99223
0.4625,0.965735
0.475,0.916029
0.4875,0.820321
0.5,0.668924
0.5125,0.485435
0.525,0.310444
0.5375,0.174577
0.55,0.086429
0.5625,0.037753
0.575,0.014579
0.5875,0.004984
0.6,0.001509
0.6125,0.000404
0.625,0.000096
0.6375,0.00002
0.65,0.000004
0.6625,0.000001
0.675,0
0.6875,0
0.7,0
0.7125,0
0.725,0
0.7375,0
0.75,0
0.7625,0
0.775,0
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
