x,f(x)
0,0
0.0125,0
0.025,0
0.0375,0
0.05,0
0.0625,0
0.075,0
0.0875,0
0.1,0
0.1125,0
0.125,0
0.1375,0.000023
0.15,0.000181
0.1625,0.000844
0.175,0.002888
0.1875,0.008
0.2,0.018831
0.2125,0.038876
0.225,0.071941
0.2375,0.121266
0.25,0.188523
0.2625,0.272988
0.275,0.371155
0.2875,0.476907
0.3,0.582207
0.3125,0.67813
0.325,0.756027
0.3375,0.808629
0.35,0.830939
0.3625,0.820829
0.375,0.779309
0.3875,0.710423
0.4,0.620802
0.4125,0.518834
0.425,0.413558
0.4375,0.313393
0.45,0.224993
0.4625,0.152455
0.475,0.097111
0.4875,0.057903
0.5,0.032167
0.5125,0.016566
0.525,0.007862
0.5375,0.003415
0.55,0.001346
0.5625,0.000477
0.575,0.000149
0.5875,0.000041
0.6,0.000009
0.6125,0.000002
0.625,0
0.6375,0
0.65,0
0.6625,0
0.675,0
0.6875,0
0.7,0
0.7125,0
0.725,0
0.7375,0
0.75,0
0.7625,0
0.775,0
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
