x,f(x)
0,0
0.0125,0
0.025,0
0.0375,0
0.05,0
0.0625,0
0.075,0
0.0875,0
0.1,0
0.1125,0
0.125,0
0.1375,0
0.15,0.000001
0.1625,0.000009
0.175,0.000029
0.1875,0.000103
0.2,0.000269
0.2125,0.000721
0.225,0.001622
0.2375,0.003565
0.25,0.007039
0.2625,0.013334
0.275,0.023466
0.2875,0.039433
0.3,0.062663
0.3125,0.095152
0.325,0.137994
0.3375,0.1918
0.35,0.256108
0.3625,0.328896
0.375,0.40731
0.3875,0.486666
0.4,0.562183
0.4125,0.628097
0.425,0.679579
0.4375,0.712225
0.45,0.723474
0.4625,0.712225
0.475,0.679579
0.4875,0.628097
0.5,0.562183
0.5125,0.486666
0.525,0.40731
0.5375,0.328896
0.55,0.256108
0.5625,0.1918
0.575,0.137994
0.5875,0.095152
0.6,0.062663
0.6125,0.039433
0.625,0.023466
0.6375,0.013334
0.65,0.007039
0.6625,0.003565
0.675,0.001622
0.6875,0.000721
0.7,0.000269
0.7125,0.000103
0.725,0.000029
0.7375,0.000009
0.75,0.000001
0.7625,0
0.775,0
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
