x,f(x)
0,0
0.0125,0
0.025,0
0.0375,0
0.05,0
0.0625,0
0.075,0
0.0875,0
0.1,0
0.1125,0
0.125,0
0.1375,0.000006
0.15,0.000023
0.1625,0.000122
0.175,0.000364
0.1875,0.00112
0.2,0.002711
0.2125,0.006294
0.225,0.012834
0.2375,0.024648
0.25,0.043537
0.2625,0.072384
0.275,0.113096
0.2875,0.16721
0.3,0.234948
0.3125,0.314411
0.325,0.402554
0.3375,0.493706
0.35,0.581901
0.3625,0.65982
0.375,0.721151
0.3875,0.760279
0.4,0.773761
0.4125,0.760279
0.425,0.721151
0.4375,0.65982
0.45,0.581901
0.4625,0.493706
0.475,0.402554
0.4875,0.314411
0.5,0.234948
0.5125,0.16721
0.525,0.113096
0.5375,0.072384
0.55,0.043537
0.5625,0.024648
0.575,0.012834
0.5875,0.006294
0.6,0.002711
0.6125,0.00112
0.625,0.000364
0.6375,0.000122
0.65,0.000023
0.6625,0.000006
0.675,0
0.6875,0
0.7,0
0.7125,0
0.725,0
0.7375,0
0.75,0
0.7625,0
0.775,0
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
