x,f(x)
0,0
0.0125,0
0.025,0
0.0375,0
0.05,0
0.0625,0
0.075,0
0.0875,0
0.1,0
0.1125,0
0.125,0
0.1375,0
0.15,0.000003
0.1625,0.000021
0.175,0.000111
0.1875,0.000442
0.2,0.001435
0.2125,0.003936
0.225,0.009397
0.2375,0.019948
0.25,0.03828
0.2625,0.067277
0.275,0.109439
0.2875,0.166224
0.3,0.237455
0.3125,0.32097
0.325,0.412597
0.3375,0.506487
0.35,0.595732
0.3625,0.673168
0.375,0.732237
0.3875,0.767787
0.4,0.776706
0.4125,0.758311
0.425,0.714454
0.4375,0.649304
0.45,0.568813
0.4625,0.479929
0.475,0.38966
0.4875,0.30418
0.5,0.228134
0.5125,0.164289
0.525,0.113554
0.5375,0.075311
0.55,0.047923
0.5625,0.029261
0.575,0.017145
0.5875,0.009644
0.6,0.005209
0.6125,0.002703
0.625,0.001348
0.6375,0.000647
0.65,0.000298
0.6625,0.000133
0.675,0.000057
0.6875,0.000023
0.7,0.000009
0.7125,0.000004
0.725,0.000001
0.7375,0
0.75,0
0.7625,0
0.775,0
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
