x,f(x)
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,0
0.06,0
0.065,0
0.07,0
0.075,0
0.08,0
0.085,0
0.09,0
0.095,0
0.1,0
0.105,0
0.11,0
0.115,0
0.12,0
0.125,0
0.13,0
0.135,0
0.14,0
0.145,0
0.15,0
0.155,0
0.16,0
0.165,0
0.17,0
0.175,0
0.18,0
0.185,0
0.19,0
0.195,0
0.2,0
0.205,0.000001
0.21,0.000001
0.215,0.000003
0.22,0.000006
0.225,0.000012
0.23,0.000023
0.235,0.000042
0.24,0.000078
0.245,0.000139
0.25,0.000242
0.255,0.000407
0.26,0.000674
0.265,0.001082
0.27,0.001708
0.275,0.002625
0.28,0.003963
0.285,0.005845
0.29,0.008467
0.295,0.012013
0.3,0.016745
0.305,0.022907
0.31,0.030808
0.315,0.040729
0.32,0.052986
0.325,0.067856
0.33,0.085598
0.335,0.106427
0.34,0.130486
0.345,0.157865
0.35,0.188539
0.355,0.222432
0.36,0.259326
0.365,0.298959
0.37,0.34093
0.375,0.384804
0.38,0.430031
0.385,0.476044
0.39,0.5222
0.395,0.567854
0.4,0.612329
0.405,0.654968
0.41,0.695117
0.415,0.732164
0.42,0.765532
0.425,0.794704
0.43,0.819223
0.435,0.838704
0.44,0.852842
0.445,0.861415
0.45,0.864288
0.455,0.861415
0.46,0.852842
0.465,0.838704
0.47,0.819223
0.475,0.794704
0.48,0.765532
0.485,0.732164
0.49,0.695117
0.495,0.654968
0.5,0.612329
0.505,0.567854
0.51,0.5222
0.515,0.476044
0.52,0.430031
0.525,0.384804
0.53,0.34093
0.535,0.298959
0.54,0.259326
0.545,0.222432
0.55,0.188539
0.555,0.157865
0.56,0.130486
0.565,0.106427
0.57,0.085598
0.575,0.067856
0.58,0.052986
0.585,0.040729
0.59,0.030808
0.595,0.022907
0.6,0.016745
0.605,0.012013
0.61,0.008467
0.615,0.005845
0.62,0.003963
0.625,0.002625
0.63,0.001708
0.635,0.001082
0.64,0.000674
0.645,0.000407
0.65,0.000242
0.655,0.000139
0.66,0.000078
0.665,0.000042
0.67,0.000023
0.675,0.000012
0.68,0.000006
0.685,0.000003
0.69,0.000001
0.695,0.000001
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
