x,f(x)
0.000000,0.026828
0.012500,-0.089793
0.025000,-0.125870
0.037500,0.272345
0.050000,0.123842
0.062500,-0.641140
0.075000,-0.056207
0.087500,1.118683
0.100000,0.022333
0.112500,-1.589153
0.125000,-0.217639
0.137500,1.835915
0.150000,0.726308
0.162500,-1.574933
0.175000,-1.288027
0.187500,0.718396
0.200000,1.365525
0.212500,0.290235
0.225000,-0.683076
0.237500,-0.674127
0.250000,-0.201907
0.262500,0.314167
0.275000,0.450384
0.287500,-0.034867
0.300000,-0.019239
0.312500,0.636448
0.325000,-0.010193
0.337500,-1.191443
0.350000,-0.045388
0.362500,1.667004
0.375000,0.437719
0.387500,-1.446207
0.400000,-0.156174
0.412500,2.318627
0.425000,2.181426
0.437500,0.286105
0.450000,-0.297968
0.462500,0.776982
0.475000,1.717182
0.487500,1.600471
0.500000,0.923502
0.512500,0.361276
0.525000,0.097305
0.537500,0.017480
0.550000,0.001902
0.562500,0.000096
0.575000,0.000000
0.587500,0.000000
0.600000,0.000000
0.612500,0.000000
0.625000,0.000000
0.637500,0.000000
0.650000,0.000000
0.662500,0.000000
0.675000,0.000000
0.687500,0.000000
0.700000,0.000000
0.712500,0.000000
0.725000,0.000000
0.737500,0.000000
0.750000,0.000000
0.762500,0.000000
0.775000,0.000000
0.787500,0.000000
0.800000,0.000000
0.812500,0.000000
0.825000,0.000000
0.837500,0.000000
0.850000,0.000000
0.862500,0.000000
0.875000,0.000000
0.887500,0.000000
0.900000,0.000000
0.912500,0.000000
0.925000,0.000000
0.937500,0.000000
0.950000,0.000000
0.962500,0.000000
0.975000,0.000000
0.987500,0.000000
1.000000,0.000000
